Unnamed: 0,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
632,female,group B,bachelor's degree,standard,completed,66,74,81
282,female,group D,bachelor's degree,free/reduced,none,73,79,84
376,female,group D,some high school,standard,none,80,90,82
384,female,group A,some high school,free/reduced,none,38,43,43
224,female,group B,associate's degree,standard,completed,52,66,73
953,male,group C,high school,standard,completed,58,52,54
814,female,group C,high school,standard,none,72,80,83
472,female,group C,associate's degree,standard,completed,68,86,84
347,female,group C,bachelor's degree,standard,completed,77,94,95
505,female,group B,some high school,standard,none,82,82,80
639,female,group D,associate's degree,standard,none,76,74,73
987,male,group E,some high school,standard,completed,81,75,76
928,male,group E,associate's degree,free/reduced,completed,46,43,44
905,male,group D,some college,standard,none,88,77,77
619,male,group C,associate's degree,free/reduced,completed,65,73,68
855,female,group B,bachelor's degree,standard,none,97,97,96
803,female,group B,some college,standard,none,82,85,87
645,female,group B,bachelor's degree,standard,completed,65,81,81
846,male,group C,master's degree,standard,completed,91,85,85
556,female,group C,associate's degree,standard,completed,55,72,79
957,female,group D,master's degree,standard,none,92,100,100
577,female,group B,high school,standard,none,81,91,89
795,female,group E,associate's degree,free/reduced,completed,57,68,73
85,female,group C,some college,standard,none,73,80,82
242,female,group D,high school,standard,none,56,52,55
698,female,group D,associate's degree,standard,completed,57,78,79
159,male,group D,associate's degree,free/reduced,none,66,62,64
524,male,group C,high school,standard,completed,53,52,49
35,male,group E,associate's degree,standard,completed,81,81,79
540,male,group C,high school,standard,completed,75,69,68
170,male,group A,high school,standard,completed,72,73,74
654,female,group B,some high school,standard,none,73,79,79
890,female,group E,some college,standard,completed,86,85,91
857,female,group C,bachelor's degree,standard,none,65,79,81
847,male,group D,high school,standard,none,64,54,50
944,female,group B,high school,standard,none,58,68,61
733,male,group D,some high school,standard,none,55,47,44
95,male,group C,associate's degree,free/reduced,completed,78,81,82
563,female,group D,some college,free/reduced,completed,63,80,80
240,male,group D,high school,free/reduced,completed,73,68,66
742,female,group C,high school,standard,none,81,84,82
574,female,group E,high school,standard,none,74,81,71
690,female,group C,associate's degree,standard,none,49,53,53
460,male,group C,bachelor's degree,free/reduced,none,53,58,55
553,male,group D,some college,free/reduced,none,77,62,64
888,female,group D,some college,free/reduced,none,69,65,74
206,male,group E,bachelor's degree,standard,none,82,62,62
392,male,group E,some college,standard,none,76,67,67
794,female,group B,high school,standard,none,42,52,51
397,female,group C,associate's degree,standard,none,85,89,95
766,female,group C,high school,standard,completed,58,75,77
848,female,group C,high school,standard,none,59,72,68
217,female,group C,high school,free/reduced,none,34,42,39
4,male,group C,some college,standard,none,76,78,75
768,female,group D,some high school,standard,none,68,71,75
642,female,group B,some high school,free/reduced,none,72,81,79
929,female,group C,some high school,free/reduced,none,48,56,51
612,male,group C,bachelor's degree,standard,completed,94,90,91
738,male,group D,associate's degree,standard,none,81,71,73
546,female,group A,some high school,standard,completed,92,100,97
725,male,group E,some college,standard,completed,81,74,71
683,female,group C,some high school,free/reduced,completed,29,40,44
98,female,group D,some college,free/reduced,none,58,67,62
804,female,group C,some college,standard,none,73,76,78
727,male,group E,some high school,standard,completed,68,51,57
573,female,group C,high school,free/reduced,completed,50,66,64
406,male,group B,associate's degree,standard,completed,65,65,63
502,male,group C,some college,free/reduced,none,63,61,54
47,female,group C,high school,standard,none,66,71,76
32,female,group E,master's degree,free/reduced,none,56,72,65
779,male,group E,associate's degree,standard,completed,94,85,82
839,female,group C,associate's degree,standard,none,66,77,73
200,female,group C,associate's degree,standard,completed,67,84,86
134,male,group D,bachelor's degree,free/reduced,completed,74,79,75
27,female,group C,bachelor's degree,standard,none,67,69,75
880,male,group C,bachelor's degree,standard,completed,63,64,66
230,male,group D,some college,standard,none,76,64,66
489,male,group A,associate's degree,free/reduced,completed,79,82,82
772,female,group B,some high school,free/reduced,completed,52,67,72
378,female,group A,some high school,standard,none,71,83,77
288,male,group B,bachelor's degree,free/reduced,none,88,75,76
418,male,group D,some college,standard,none,68,59,62
674,female,group D,high school,standard,completed,69,77,78
391,female,group D,some college,standard,none,77,68,77
592,male,group E,bachelor's degree,standard,none,68,68,64
498,female,group B,some high school,standard,none,66,69,68
138,female,group C,associate's degree,standard,none,59,66,67
62,male,group A,associate's degree,free/reduced,none,62,61,55
471,female,group C,high school,standard,none,63,69,74
647,female,group E,high school,free/reduced,none,64,62,68
128,male,group D,master's degree,standard,none,82,82,74
976,male,group B,some college,free/reduced,completed,60,62,60
520,male,group D,some college,standard,none,71,49,52
838,male,group B,associate's degree,free/reduced,completed,58,57,53
962,female,group E,associate's degree,standard,none,100,100,100
64,female,group D,some high school,standard,none,59,58,59
812,female,group C,master's degree,standard,completed,54,64,67
14,female,group A,master's degree,standard,none,50,53,58
156,female,group E,high school,free/reduced,completed,66,74,78
40,male,group C,associate's degree,free/reduced,none,55,61,54
492,female,group C,some college,standard,none,83,83,90
379,male,group A,bachelor's degree,standard,none,66,64,62
187,male,group D,some high school,standard,completed,62,66,68
763,female,group B,high school,standard,none,62,62,63
216,female,group E,associate's degree,free/reduced,completed,83,86,88
791,female,group D,some college,free/reduced,none,60,66,70
52,male,group C,some college,standard,none,53,44,42
878,female,group D,some high school,standard,none,59,72,80
337,male,group C,associate's degree,standard,none,49,51,43
748,female,group C,bachelor's degree,free/reduced,none,50,60,59
719,male,group E,associate's degree,free/reduced,completed,91,73,80
724,male,group B,some college,standard,none,47,43,41
295,male,group B,associate's degree,free/reduced,none,67,62,60
701,female,group B,some high school,standard,none,57,67,72
251,female,group D,some college,free/reduced,none,71,83,83
726,female,group E,associate's degree,standard,completed,65,75,77
461,male,group B,some college,free/reduced,none,54,54,45
455,male,group C,bachelor's degree,free/reduced,none,37,56,47
996,male,group C,high school,free/reduced,none,62,55,55
815,male,group B,some high school,standard,completed,94,86,87
862,male,group D,bachelor's degree,free/reduced,completed,39,42,38
269,female,group E,some college,free/reduced,none,71,76,70
201,female,group D,some college,free/reduced,none,65,81,77
161,female,group E,some college,free/reduced,completed,75,88,85
555,female,group C,some college,free/reduced,none,32,39,33
729,male,group C,some college,standard,none,53,39,37
401,male,group A,some college,standard,none,53,43,43
702,male,group A,bachelor's degree,standard,completed,87,84,87
476,male,group E,bachelor's degree,standard,completed,76,62,66
821,female,group D,bachelor's degree,free/reduced,none,78,90,93
771,male,group D,bachelor's degree,standard,none,75,73,74
105,female,group C,some college,standard,none,58,67,72
565,male,group B,associate's degree,standard,none,48,43,45
389,male,group D,master's degree,standard,none,73,70,75
1,female,group C,some college,standard,completed,69,90,88
937,female,group E,high school,free/reduced,none,57,58,57
982,male,group B,some high school,standard,completed,79,85,86
561,female,group C,some college,standard,none,63,74,74
80,female,group B,associate's degree,standard,none,47,49,50
205,male,group D,some high school,standard,completed,74,71,78
34,male,group E,some college,standard,none,97,87,82
775,female,group B,some high school,free/reduced,none,49,58,55
508,male,group C,master's degree,standard,none,79,78,77
427,male,group C,some high school,free/reduced,none,69,71,65
454,female,group C,associate's degree,free/reduced,none,53,61,62
366,male,group C,high school,standard,completed,69,58,53
91,male,group C,high school,free/reduced,none,27,34,36
339,female,group D,some high school,free/reduced,completed,35,55,60
897,female,group B,some high school,free/reduced,completed,63,78,79
564,male,group B,bachelor's degree,free/reduced,none,48,51,46
345,female,group C,high school,standard,none,72,80,75
776,female,group B,high school,standard,none,66,72,70
241,female,group E,bachelor's degree,standard,none,80,83,83
13,male,group A,some college,standard,completed,78,72,70
315,male,group C,high school,standard,none,71,66,65
600,female,group D,master's degree,standard,none,54,60,63
387,female,group C,associate's degree,free/reduced,none,57,78,67
273,female,group D,some college,standard,none,65,70,71
166,male,group C,high school,free/reduced,completed,53,51,51
840,female,group D,high school,free/reduced,none,39,52,46
992,female,group D,associate's degree,free/reduced,none,55,76,76
646,female,group D,associate's degree,standard,none,59,70,65
818,female,group B,high school,free/reduced,none,60,72,68
484,female,group B,associate's degree,standard,none,49,52,54
980,female,group B,high school,free/reduced,none,8,24,23
504,female,group D,master's degree,free/reduced,none,40,59,54
831,female,group C,bachelor's degree,free/reduced,completed,74,86,89
243,male,group E,some college,standard,none,59,51,43
566,female,group E,bachelor's degree,free/reduced,completed,92,100,100
875,male,group C,some college,free/reduced,none,80,64,66
562,male,group C,bachelor's degree,standard,completed,96,90,92
686,male,group E,some college,standard,completed,85,75,68
189,female,group C,bachelor's degree,standard,none,77,88,87
782,female,group B,high school,free/reduced,completed,76,85,82
699,male,group C,high school,free/reduced,none,66,66,59
475,female,group D,bachelor's degree,standard,completed,71,76,83
681,male,group B,high school,standard,none,60,68,60
510,male,group D,some college,standard,none,76,71,73
58,male,group D,some college,standard,completed,58,59,58
474,female,group B,associate's degree,standard,completed,90,90,91
560,female,group D,some college,standard,completed,74,75,79
856,male,group B,some college,free/reduced,none,75,68,65
747,male,group C,some college,standard,none,69,64,68
252,female,group B,some high school,standard,completed,60,70,70
21,female,group B,some college,free/reduced,completed,65,75,70
313,female,group C,associate's degree,free/reduced,completed,68,67,69
459,male,group B,high school,standard,completed,72,65,68
160,male,group B,associate's degree,free/reduced,completed,82,78,74
276,female,group C,some high school,standard,completed,85,92,93
955,male,group E,associate's degree,standard,none,72,57,62
191,male,group D,some college,standard,completed,76,83,79
385,female,group E,some college,standard,none,67,76,75
805,male,group A,some college,free/reduced,none,75,81,74
413,male,group B,some high school,standard,completed,63,67,67
491,female,group C,associate's degree,standard,none,64,64,70
343,male,group D,associate's degree,standard,completed,67,72,67
769,male,group A,some college,free/reduced,none,58,60,57
308,female,group B,associate's degree,free/reduced,none,53,71,67
661,male,group C,some high school,standard,none,73,66,63
130,male,group D,master's degree,standard,none,89,84,82
663,female,group C,high school,standard,none,65,69,67
871,female,group C,some college,standard,completed,70,72,76
99,female,group D,bachelor's degree,standard,none,65,67,62
372,male,group D,some high school,standard,none,74,74,72
87,female,group D,associate's degree,standard,none,71,71,74
458,female,group E,bachelor's degree,standard,none,100,100,100
330,male,group C,high school,standard,none,71,60,61
214,male,group E,high school,standard,completed,87,91,81
466,female,group D,associate's degree,free/reduced,none,26,31,38
121,male,group B,associate's degree,standard,completed,91,89,92
614,female,group A,associate's degree,standard,none,82,93,93
20,male,group D,high school,standard,none,66,69,63
700,female,group E,bachelor's degree,standard,completed,79,81,82
71,male,group D,some college,standard,completed,63,55,63
106,female,group D,master's degree,standard,none,87,100,100
270,male,group C,bachelor's degree,standard,none,69,63,61
860,female,group C,associate's degree,standard,none,53,62,53
435,male,group C,some college,free/reduced,completed,50,48,53
102,female,group D,associate's degree,standard,none,85,91,89
